Date,RF
08/01/1999,0.0039
09/01/1999,0.0039
10/01/1999,0.0039
11/01/1999,0.0036
12/01/1999,0.0044
01/01/2000,0.0041
02/01/2000,0.0043
03/01/2000,0.0047
04/01/2000,0.0046
05/01/2000,0.005
06/01/2000,0.004
07/01/2000,0.0048
08/01/2000,0.005
09/01/2000,0.0051
10/01/2000,0.0056
11/01/2000,0.0051
12/01/2000,0.005
01/01/2001,0.0054
02/01/2001,0.0038
03/01/2001,0.0042
04/01/2001,0.0039
05/01/2001,0.0032
06/01/2001,0.0028
07/01/2001,0.003
08/01/2001,0.0031
09/01/2001,0.0028
10/01/2001,0.0022
11/01/2001,0.0017
12/01/2001,0.0015
01/01/2002,0.0014
02/01/2002,0.0013
03/01/2002,0.0013
04/01/2002,0.0015
05/01/2002,0.0014
06/01/2002,0.0013
07/01/2002,0.0015
08/01/2002,0.0014
09/01/2002,0.0014
10/01/2002,0.0014
11/01/2002,0.0012
12/01/2002,0.0011
01/01/2003,0.001
02/01/2003,0.0009
03/01/2003,0.001
04/01/2003,0.001
05/01/2003,0.0009
06/01/2003,0.001
07/01/2003,0.0007
08/01/2003,0.0007
09/01/2003,0.0008
10/01/2003,0.0007
11/01/2003,0.0007
12/01/2003,0.0008
01/01/2004,0.0007
02/01/2004,0.0006
03/01/2004,0.0009
04/01/2004,0.0008
05/01/2004,0.0006
06/01/2004,0.0008
07/01/2004,0.001
08/01/2004,0.0011
09/01/2004,0.0011
10/01/2004,0.0011
11/01/2004,0.0015
12/01/2004,0.0016
01/01/2005,0.0016
02/01/2005,0.0016
03/01/2005,0.0021
04/01/2005,0.0021
05/01/2005,0.0024
06/01/2005,0.0023
07/01/2005,0.0024
08/01/2005,0.003
09/01/2005,0.0029
10/01/2005,0.0027
11/01/2005,0.0031
12/01/2005,0.0032
01/01/2006,0.0035
02/01/2006,0.0034
03/01/2006,0.0037
04/01/2006,0.0036
05/01/2006,0.0043
06/01/2006,0.004
07/01/2006,0.004
08/01/2006,0.0042
09/01/2006,0.0041
10/01/2006,0.0041
11/01/2006,0.0042
12/01/2006,0.004
01/01/2007,0.0044
02/01/2007,0.0038
03/01/2007,0.0043
04/01/2007,0.0044
05/01/2007,0.0041
06/01/2007,0.004
07/01/2007,0.004
08/01/2007,0.0042
09/01/2007,0.0032
10/01/2007,0.0032
11/01/2007,0.0034
12/01/2007,0.0027
01/01/2008,0.0021
02/01/2008,0.0013
03/01/2008,0.0017
04/01/2008,0.0018
05/01/2008,0.0018
06/01/2008,0.0017
07/01/2008,0.0015
08/01/2008,0.0013
09/01/2008,0.0015
10/01/2008,0.0008
11/01/2008,0.0003
12/01/2008,0
01/01/2009,0
02/01/2009,0.0001
03/01/2009,0.0002
04/01/2009,0.0001
05/01/2009,0
06/01/2009,0.0001
07/01/2009,0.0001
08/01/2009,0.0001
09/01/2009,0.0001
10/01/2009,0
11/01/2009,0
12/01/2009,0.0001
01/01/2010,0
02/01/2010,0
03/01/2010,0.0001
04/01/2010,0.0001
05/01/2010,0.0001
06/01/2010,0.0001
07/01/2010,0.0001
08/01/2010,0.0001
09/01/2010,0.0001
10/01/2010,0.0001
11/01/2010,0.0001
12/01/2010,0.0001
01/01/2011,0.0001
02/01/2011,0.0001
03/01/2011,0.0001
04/01/2011,0
05/01/2011,0
06/01/2011,0
07/01/2011,0
08/01/2011,0.0001
09/01/2011,0
10/01/2011,0
11/01/2011,0
12/01/2011,0
01/01/2012,0
02/01/2012,0
03/01/2012,0
04/01/2012,0
05/01/2012,0.0001
06/01/2012,0
07/01/2012,0
08/01/2012,0.0001
09/01/2012,0.0001
10/01/2012,0.0001
11/01/2012,0.0001
12/01/2012,0.0001
01/01/2013,0
02/01/2013,0
03/01/2013,0
04/01/2013,0
05/01/2013,0
06/01/2013,0
07/01/2013,0
08/01/2013,0
09/01/2013,0
10/01/2013,0
11/01/2013,0
12/01/2013,0
01/01/2014,0
02/01/2014,0
03/01/2014,0
04/01/2014,0
05/01/2014,0
06/01/2014,0
07/01/2014,0
08/01/2014,0
09/01/2014,0
10/01/2014,0
11/01/2014,0
12/01/2014,0
01/01/2015,0
02/01/2015,0
03/01/2015,0
04/01/2015,0
05/01/2015,0
06/01/2015,0
07/01/2015,0
08/01/2015,0
09/01/2015,0
10/01/2015,0
11/01/2015,0
12/01/2015,0.0001
01/01/2016,0.0001
02/01/2016,0.0002
03/01/2016,0.0002
04/01/2016,0.0001
05/01/2016,0.0001
06/01/2016,0.0002
07/01/2016,0.0002
08/01/2016,0.0002
09/01/2016,0.0002
10/01/2016,0.0002
11/01/2016,0.0001
12/01/2016,0.0003
01/01/2017,0.0004
02/01/2017,0.0004
03/01/2017,0.0003
04/01/2017,0.0005
05/01/2017,0.0006
06/01/2017,0.0006
07/01/2017,0.0007
08/01/2017,0.0009
09/01/2017,0.0009
10/01/2017,0.0009
11/01/2017,0.0008
12/01/2017,0.0009
01/01/2018,0.0011
02/01/2018,0.0011
03/01/2018,0.0012
04/01/2018,0.0014
05/01/2018,0.0014
06/01/2018,0.0014
07/01/2018,0.0016
08/01/2018,0.0016
09/01/2018,0.0015
10/01/2018,0.0019
11/01/2018,0.0018
12/01/2018,0.0019
01/01/2019,0.0021
02/01/2019,0.0018
03/01/2019,0.0019
04/01/2019,0.0021
05/01/2019,0.0021
06/01/2019,0.0018
07/01/2019,0.0019
08/01/2019,0.0016
09/01/2019,0.0018
10/01/2019,0.0015
11/01/2019,0.0012
12/01/2019,0.0014
01/01/2020,0.0013
02/01/2020,0.0012
03/01/2020,0.0012
04/01/2020,0
05/01/2020,0.0001
06/01/2020,0.0001
07/01/2020,0.0001
08/01/2020,0.0001
09/01/2020,0.0001
10/01/2020,0.0001
11/01/2020,0.0001
12/01/2020,0.0001
01/01/2021,0
02/01/2021,0
03/01/2021,0
04/01/2021,0
05/01/2021,0
06/01/2021,0
07/01/2021,0
08/01/2021,0
09/01/2021,0
10/01/2021,0
11/01/2021,0
12/01/2021,0.0001
01/01/2022,0
02/01/2022,0
03/01/2022,0
04/01/2022,0
05/01/2022,0.0003
06/01/2022,0.0006
07/01/2022,0.0008
08/01/2022,0.0019
09/01/2022,0.0019
10/01/2022,0.0023
11/01/2022,0.0029
12/01/2022,0.0033
01/01/2023,0.0035
02/01/2023,0.0034
03/01/2023,0.0036
04/01/2023,0.0035
05/01/2023,0.0036
06/01/2023,0.004
07/01/2023,0.0045
08/01/2023,0.0045
09/01/2023,0.0043
10/01/2023,0.0047
11/01/2023,0.0044
12/01/2023,0.0043
01/01/2024,0.0047
02/01/2024,0.0042
03/01/2024,0.0043
04/01/2024,0.0047
05/01/2024,0.0044
06/01/2024,0.0041
07/01/2024,0.0045
08/01/2024,0.0048
09/01/2024,0.004
10/01/2024,0.0039
11/01/2024,0.004
12/01/2024,0.0037
01/01/2025,0.0037
02/01/2025,0.0033
03/01/2025,0.0034
04/01/2025,0.0035
05/01/2025,0.0038
06/01/2025,0.0034
07/01/2025,0.0034
08/01/2025,0.0038
09/01/2025,0.0033
10/01/2025,0.0037
11/01/2025,0.003
12/01/2025,0.0034
